Date,State/UnionTerritory,Confirmed
30/05/20,West Bengal,4813
30/05/20,Cases being reassigned to states,5043
31/05/20,Andaman and Nicobar Islands,33
31/05/20,Andhra Pradesh,3569
31/05/20,Arunachal Pradesh,4
31/05/20,Assam,1185
31/05/20,Bihar,3636
31/05/20,Chandigarh,289
31/05/20,Chhattisgarh,447
31/05/20,Dadar Nagar Haveli,2
31/05/20,Delhi,18549
31/05/20,Goa,70
31/05/20,Gujarat,16343
31/05/20,Haryana,1923
31/05/20,Himachal Pradesh,313
31/05/20,Jammu and Kashmir,2341
31/05/20,Jharkhand,563
31/05/20,Karnataka,2922
31/05/20,Kerala,1208
31/05/20,Ladakh,74
31/05/20,Madhya Pradesh,7891
31/05/20,Maharashtra,65168
31/05/20,Manipur,62
31/05/20,Meghalaya,27
31/05/20,Mizoram,1
31/05/20,Nagaland,36
31/05/20,Odisha,1819
31/05/20,Puducherry,51
31/05/20,Punjab,2233
31/05/20,Rajasthan,8617
31/05/20,Sikkim,1
31/05/20,Tamil Nadu,21184
31/05/20,Telengana,2499
31/05/20,Tripura,268
31/05/20,Uttarakhand,749
31/05/20,Uttar Pradesh,7445
31/05/20,West Bengal,5130
31/05/20,Cases being reassigned to states,5491
1/6/2020,Andaman and Nicobar Islands,33
1/6/2020,Andhra Pradesh,3679
1/6/2020,Arunachal Pradesh,4
1/6/2020,Assam,1272
1/6/2020,Bihar,3815
1/6/2020,Chandigarh,293
1/6/2020,Chhattisgarh,498
1/6/2020,Dadar Nagar Haveli,2
1/6/2020,Delhi,19844
1/6/2020,Goa,70
1/6/2020,Gujarat,16779
1/6/2020,Haryana,2091
1/6/2020,Himachal Pradesh,331
1/6/2020,Jammu and Kashmir,2446
1/6/2020,Jharkhand,610
1/6/2020,Karnataka,3221
1/6/2020,Kerala,1269
1/6/2020,Ladakh,74
1/6/2020,Madhya Pradesh,8089
1/6/2020,Maharashtra,67655
1/6/2020,Manipur,71
1/6/2020,Meghalaya,27
1/6/2020,Mizoram,1
1/6/2020,Nagaland,43
1/6/2020,Odisha,1948
1/6/2020,Puducherry,70
1/6/2020,Punjab,2263
1/6/2020,Rajasthan,8831
1/6/2020,Sikkim,1
1/6/2020,Tamil Nadu,22333
1/6/2020,Telengana,2698
1/6/2020,Tripura,313
1/6/2020,Uttarakhand,907
1/6/2020,Uttar Pradesh,7823
1/6/2020,West Bengal,5501
1/6/2020,Cases being reassigned to states,5630
2/6/2020,Andaman and Nicobar Islands,33
2/6/2020,Andhra Pradesh,3783
2/6/2020,Arunachal Pradesh,22
2/6/2020,Assam,1390
2/6/2020,Bihar,3926
2/6/2020,Chandigarh,294
2/6/2020,Chhattisgarh,547
2/6/2020,Dadar Nagar Haveli,3
2/6/2020,Delhi,20834
2/6/2020,Goa,71
2/6/2020,Gujarat,17200
2/6/2020,Haryana,2356
2/6/2020,Himachal Pradesh,340
2/6/2020,Jammu and Kashmir,2601
2/6/2020,Jharkhand,659
2/6/2020,Karnataka,3408
2/6/2020,Kerala,1326
2/6/2020,Ladakh,77
2/6/2020,Madhya Pradesh,8283
2/6/2020,Maharashtra,70013
2/6/2020,Manipur,83
2/6/2020,Meghalaya,27
2/6/2020,Mizoram,1
2/6/2020,Nagaland,43
2/6/2020,Odisha,2104
